2.8728 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
98.8739 	EXP 	fixation: autoDraw = True
99.8835 	EXP 	fixation: autoDraw = False
99.9003 	EXP 	grating: autoDraw = True
99.9003 	EXP 	grating: tex = 'sin'
100.2001 	EXP 	grating: autoDraw = False
100.2517 	EXP 	window1: recordFrameIntervals = False
100.2527 	DATA 	Keypress: left
100.2666 	EXP 	fixation: autoDraw = False
100.2666 	EXP 	grating: autoDraw = False
100.2668 	EXP 	window1: recordFrameIntervals = False
101.2406 	EXP 	fixation: autoDraw = True
102.2498 	EXP 	fixation: autoDraw = False
102.2666 	EXP 	grating: autoDraw = True
102.2666 	EXP 	grating: tex = 'sin'
102.5665 	EXP 	grating: autoDraw = False
102.6348 	EXP 	window1: recordFrameIntervals = False
102.6357 	DATA 	Keypress: right
102.6497 	EXP 	fixation: autoDraw = False
102.6497 	EXP 	grating: autoDraw = False
102.6499 	EXP 	window1: recordFrameIntervals = False
103.6233 	EXP 	fixation: autoDraw = True
104.6327 	EXP 	fixation: autoDraw = False
104.6499 	EXP 	grating: autoDraw = True
104.6499 	EXP 	grating: tex = 'sin'
104.9494 	EXP 	grating: autoDraw = False
105.0011 	EXP 	window1: recordFrameIntervals = False
105.0019 	DATA 	Keypress: left
105.0162 	EXP 	fixation: autoDraw = False
105.0162 	EXP 	grating: autoDraw = False
105.0163 	EXP 	window1: recordFrameIntervals = False
105.9904 	EXP 	fixation: autoDraw = True
106.9992 	EXP 	fixation: autoDraw = False
107.0158 	EXP 	grating: autoDraw = True
107.0158 	EXP 	grating: tex = 'sin'
107.3158 	EXP 	grating: autoDraw = False
107.5342 	EXP 	window1: recordFrameIntervals = False
107.5350 	DATA 	Keypress: right
107.5491 	EXP 	fixation: autoDraw = False
107.5491 	EXP 	grating: autoDraw = False
107.5492 	EXP 	window1: recordFrameIntervals = False
108.5229 	EXP 	fixation: autoDraw = True
109.5322 	EXP 	fixation: autoDraw = False
109.5489 	EXP 	grating: autoDraw = True
109.5489 	EXP 	grating: tex = 'sin'
109.8486 	EXP 	grating: autoDraw = False
109.9172 	EXP 	window1: recordFrameIntervals = False
109.9183 	DATA 	Keypress: left
109.9323 	EXP 	fixation: autoDraw = False
109.9323 	EXP 	grating: autoDraw = False
109.9325 	EXP 	window1: recordFrameIntervals = False
110.9062 	EXP 	fixation: autoDraw = True
111.9153 	EXP 	fixation: autoDraw = False
111.9320 	EXP 	grating: autoDraw = True
111.9320 	EXP 	grating: tex = 'sin'
112.2319 	EXP 	grating: autoDraw = False
