trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
110,0,110,0,10,223.9282742999494,223.9282742999494,0.02175879996502772,[0.3333333333333333],[-0.2564814814814815],[1],[0],[0],[1.874160400009714],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
111,0,111,0,5,225.81357040000148,225.81357040000148,0.011240499967243522,[-0.022222222222222223],[-0.19814814814814816],[1],[0],[0],[1.4524737000465393],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
112,0,112,0,10,227.2965171999531,227.2965171999531,0.022612200002186,[0.12407407407407407],[-0.22314814814814815],[1],[0],[0],[1.5058950000093319],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
113,0,113,0,10,228.82581369997934,228.82581369997934,0.02142369997454807,[0.03333333333333333],[-0.023148148148148147],[1],[0],[0],[1.926210900011938],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
114,0,114,0,10,230.77736899995944,230.77736899995944,0.021709399996325374,[0.2861111111111111],[-0.24351851851851852],[1],[0],[0],[1.7750415999908],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
115,0,115,0,10,232.5768377999775,232.5768377999775,0.02169349999167025,[-0.1712962962962963],[-0.019444444444444445],[1],[0],[0],[1.291456799954176],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
116,0,116,0,5,233.88063679996412,233.88063679996412,0.012330099998507649,[0.44722222222222224],[0.18518518518518517],[1],[0],[0],[2.9183260000427254],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
117,0,117,0,10,236.82922109996434,236.82922109996434,0.022856399999000132,[-0.2064814814814815],[0.36018518518518516],[1],[0],[0],[1.8727401999640279],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
118,0,118,0,10,238.72587629995542,238.72587629995542,0.021405700012110174,[0.24722222222222223],[-0.15833333333333333],[1],[0],[0],[1.6751277999719605],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
119,0,119,0,5,240.4114097999991,240.4114097999991,0.011696200002916157,[0.04537037037037037],[0.44814814814814813],[1],[0],[0],[1.4183286000043154],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
120,0,120,0,10,241.85898979997728,241.85898979997728,0.021651900024153292,[-0.16944444444444445],[0.2518518518518518],[1],[0],[0],[1.4417173000401817],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
121,0,121,0,10,243.3251045999932,243.3251045999932,0.021273299993481487,[-0.30185185185185187],[0.2962962962962963],[1],[0],[0],[1.1418379999813624],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
122,0,122,0,5,244.47816249995958,244.47816249995958,0.011695599998347461,[0.47685185185185186],[-0.11296296296296296],[1],[0],[0],[1.8356887000263669],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
123,0,123,0,5,246.3285096999607,246.3285096999607,0.011754100036341697,[0.013888888888888888],[0.06481481481481481],[1],[0],[0],[1.9679057999746874],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
124,0,124,0,10,248.3255392999854,248.3255392999854,0.02150550001533702,[-0.3388888888888889],[-0.1787037037037037],[1],[0],[0],[1.907664800004568],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
125,0,125,0,10,250.25841109995963,250.25841109995963,0.021792599989566952,[0.13240740740740742],[-0.4009259259259259],[1],[0],[0],[1.8750976000446826],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
