study_word,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
water,,0,10,10,19,,,,,30.096949400001904,30.096949400001904,1.0148148148148148,1.163361500002793,,,,,,,,,,,,,846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
bus,,0,11,11,15,,,,,31.280214700003853,31.280214700003853,1.0148148148148148,1.1297517000057269,,,,,,,,,,,,,846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
shoes,,0,12,12,18,,,,,32.430054700002074,32.430054700002074,1.0148148148148148,1.2298516999871936,,,,,,,,,,,,,846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
blanket,,0,13,13,16,,,,,33.67983579999418,33.67983579999418,1.0148148148148148,1.2129897999984678,,,,,,,,,,,,,846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
ring,,0,14,14,8,,,,,34.91307229999802,34.91307229999802,1.0148148148148148,0.9962530000047991,,,,,,,,,,,,,846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
car,,0,15,15,13,,,,,35.92962100000295,35.92962100000295,1.0148148148148148,0.9465580000105547,,,,,,,,,,,,,846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
vase,,0,16,16,0,,,,,36.89612869999837,36.89612869999837,1.0148148148148148,1.0961526000028243,,,,,,,,,,,,,846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
bag,,0,17,17,17,,,,,38.012630099998205,38.012630099998205,1.0148148148148148,0.9963132999982918,,,,,,,,,,,,,846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
piano,,0,18,18,4,,,,,39.029207600004156,39.029207600004156,1.0148148148148148,1.0948254999966593,,,,,,,,,,,,,846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
tiger,,0,19,19,1,,,,,40.1454298000026,40.1454298000026,1.0148148148148148,1.0296501999982866,,,,,,,,,,,,,846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
,_p_a_d_,,,,,0,0,0,7,,,,,41.2000027000031,41.2000027000031,41.2000027000031,0.008057099999859929,,[],[],[],[],[],[],[],846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
,c_m_r_,,,,,0,1,1,6,,,,,51.210789500008104,51.210789500008104,51.210789500008104,0.016942400005063973,camera,[-0.06666666666666667],[-0.30092592592592593],[1],[0],[0],[6.4295274000032805],['text_3'],846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
,_e_dy,,,,,0,2,2,15,,,,,57.64352969999891,57.64352969999891,57.64352969999891,0.002035299999988638,teddy,[-0.012962962962962963],[-0.2953703703703704],[1],[0],[0],[4.846384400007082],['text_3'],846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
