4.5979 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
65.2223 	EXP 	New trial (rep=31, index=0): None
65.2251 	DATA 	Keypress: down
65.2343 	EXP 	fixation: autoDraw = False
65.2343 	EXP 	grating: autoDraw = False
65.2343 	EXP 	grating: ori = 0.0
65.2343 	EXP 	fixation: autoDraw = True
66.2342 	EXP 	fixation: autoDraw = False
66.2342 	EXP 	grating: autoDraw = True
66.5341 	EXP 	grating: autoDraw = False
66.6555 	EXP 	New trial (rep=32, index=0): None
66.6582 	DATA 	Keypress: up
66.6674 	EXP 	fixation: autoDraw = False
66.6674 	EXP 	grating: autoDraw = False
66.6674 	EXP 	grating: ori = 0.0
66.6674 	EXP 	fixation: autoDraw = True
67.6674 	EXP 	fixation: autoDraw = False
67.6674 	EXP 	grating: autoDraw = True
67.9674 	EXP 	grating: autoDraw = False
68.2213 	EXP 	New trial (rep=33, index=0): None
68.2240 	DATA 	Keypress: up
68.2338 	EXP 	fixation: autoDraw = False
68.2338 	EXP 	grating: autoDraw = False
68.2338 	EXP 	grating: ori = -1.0
68.2338 	EXP 	fixation: autoDraw = True
69.2340 	EXP 	fixation: autoDraw = False
69.2340 	EXP 	grating: autoDraw = True
69.5338 	EXP 	grating: autoDraw = False
69.7548 	EXP 	New trial (rep=34, index=0): None
69.7574 	DATA 	Keypress: up
69.7670 	EXP 	fixation: autoDraw = False
69.7670 	EXP 	grating: autoDraw = False
69.7670 	EXP 	grating: ori = 0.0
69.7670 	EXP 	fixation: autoDraw = True
70.7669 	EXP 	fixation: autoDraw = False
70.7669 	EXP 	grating: autoDraw = True
71.0670 	EXP 	grating: autoDraw = False
71.5044 	EXP 	New trial (rep=35, index=0): None
71.5070 	DATA 	Keypress: up
71.5168 	EXP 	fixation: autoDraw = False
71.5168 	EXP 	grating: autoDraw = False
71.5168 	EXP 	grating: ori = 0.0
71.5168 	EXP 	fixation: autoDraw = True
